"A编号","最小标签","图片文件名","提示词文件名"
"A059","时装穿搭","A059-时装穿搭.png","A059-时装穿搭.txt"
"A193","上衣+短裤","A193-上衣+短裤.png","A193-上衣+短裤.txt"
"A058","上衣+长裤","A058-上衣+长裤.png","A058-上衣+长裤.txt"
"A018","连衣裙","A018-连衣裙.png","A018-连衣裙.txt"
"A106","连衣裙","A106-连衣裙.png","A106-连衣裙.txt"
"A009","连体短裤","A009-连体短裤.png","A009-连体短裤.txt"
"A006","衬衫+下装","A006-衬衫+下装.png","A006-衬衫+下装.txt"
"A132","连体短裤","A132-连体短裤.png","A132-连体短裤.txt"
"A027","上衣+长裤","A027-上衣+长裤.png","A027-上衣+长裤.txt"
"A143","上衣+短裙","A143-上衣+短裙.png","A143-上衣+短裙.txt"
"A137","时装穿搭","A137-时装穿搭.png","A137-时装穿搭.txt"
"A073","衬衫+下装","A073-衬衫+下装.png","A073-衬衫+下装.txt"
"A172","衬衫+下装","A172-衬衫+下装.png","A172-衬衫+下装.txt"
"A074","时装穿搭","A074-时装穿搭.png","A074-时装穿搭.txt"
"A151","衬衫+短裤","A151-衬衫+短裤.png","A151-衬衫+短裤.txt"
"A155","时装穿搭","A155-时装穿搭.png","A155-时装穿搭.txt"
"A165","时装穿搭","A165-时装穿搭.png","A165-时装穿搭.txt"
"A003","连体短裤","A003-连体短裤.png","A003-连体短裤.txt"
"A117","时装穿搭","A117-时装穿搭.png","A117-时装穿搭.txt"
"A065","时装穿搭","A065-时装穿搭.png","A065-时装穿搭.txt"
"A147","时装穿搭","A147-时装穿搭.png","A147-时装穿搭.txt"
"A103","上衣+长裤","A103-上衣+长裤.png","A103-上衣+长裤.txt"
"A091","衬衫+短裤","A091-衬衫+短裤.png","A091-衬衫+短裤.txt"
"A038","上衣+短裤","A038-上衣+短裤.png","A038-上衣+短裤.txt"
"A140","连体短裤","A140-连体短裤.png","A140-连体短裤.txt"
"A035","上衣+短裤","A035-上衣+短裤.png","A035-上衣+短裤.txt"
"A116","上衣+长裤","A116-上衣+长裤.png","A116-上衣+长裤.txt"
"A002","连体短裤","A002-连体短裤.png","A002-连体短裤.txt"
"A108","上衣+长裤","A108-上衣+长裤.png","A108-上衣+长裤.txt"
"A110","衬衫+下装","A110-衬衫+下装.png","A110-衬衫+下装.txt"
