"A编号","最小标签","图片文件名","提示词文件名"
"A107","衬衫+短裤","A107-衬衫+短裤.png","A107-衬衫+短裤.txt"
"A037","上衣+短裤","A037-上衣+短裤.png","A037-上衣+短裤.txt"
"A147","时装穿搭","A147-时装穿搭.png","A147-时装穿搭.txt"
"A048","上衣+长裤","A048-上衣+长裤.png","A048-上衣+长裤.txt"
"A142","上衣+长裤","A142-上衣+长裤.png","A142-上衣+长裤.txt"
"A020","连体短裤","A020-连体短裤.png","A020-连体短裤.txt"
"A059","时装穿搭","A059-时装穿搭.png","A059-时装穿搭.txt"
"A039","上衣+长裤","A039-上衣+长裤.png","A039-上衣+长裤.txt"
"A015","上衣+短裙","A015-上衣+短裙.png","A015-上衣+短裙.txt"
"A044","时装穿搭","A044-时装穿搭.png","A044-时装穿搭.txt"
"A144","上衣+短裤","A144-上衣+短裤.png","A144-上衣+短裤.txt"
"A027","上衣+长裤","A027-上衣+长裤.png","A027-上衣+长裤.txt"
"A115","上衣+短裤","A115-上衣+短裤.png","A115-上衣+短裤.txt"
"A086","上衣+短裤","A086-上衣+短裤.png","A086-上衣+短裤.txt"
"A049","上衣+短裤","A049-上衣+短裤.png","A049-上衣+短裤.txt"
