"A编号","最小标签","图片文件名","提示词文件名"
"A057","时装穿搭","A057-时装穿搭.png","A057-时装穿搭.txt"
"A084","衬衫+短裤","A084-衬衫+短裤.png","A084-衬衫+短裤.txt"
"A159","衬衫+短裤","A159-衬衫+短裤.png","A159-衬衫+短裤.txt"
"A100","上衣+短裤","A100-上衣+短裤.png","A100-上衣+短裤.txt"
"A136","上衣+短裙","A136-上衣+短裙.png","A136-上衣+短裙.txt"
"A187","上衣+短裤","A187-上衣+短裤.png","A187-上衣+短裤.txt"
"A190","上衣+短裤","A190-上衣+短裤.png","A190-上衣+短裤.txt"
"A066","上衣+长裤","A066-上衣+长裤.png","A066-上衣+长裤.txt"
"A092","上衣+长裤","A092-上衣+长裤.png","A092-上衣+长裤.txt"
"A181","时装穿搭","A181-时装穿搭.png","A181-时装穿搭.txt"
"A108","上衣+长裤","A108-上衣+长裤.png","A108-上衣+长裤.txt"
"A059","时装穿搭","A059-时装穿搭.png","A059-时装穿搭.txt"
"A014","上衣+长裤","A014-上衣+长裤.png","A014-上衣+长裤.txt"
"A142","上衣+长裤","A142-上衣+长裤.png","A142-上衣+长裤.txt"
"A180","上衣+长裤","A180-上衣+长裤.png","A180-上衣+长裤.txt"
"A075","上衣+长裤","A075-上衣+长裤.png","A075-上衣+长裤.txt"
"A115","上衣+短裤","A115-上衣+短裤.png","A115-上衣+短裤.txt"
"A044","时装穿搭","A044-时装穿搭.png","A044-时装穿搭.txt"
"A027","上衣+长裤","A027-上衣+长裤.png","A027-上衣+长裤.txt"
"A158","时装穿搭","A158-时装穿搭.png","A158-时装穿搭.txt"
"A150","上衣+短裙","A150-上衣+短裙.png","A150-上衣+短裙.txt"
"A003","连体短裤","A003-连体短裤.png","A003-连体短裤.txt"
"A023","上衣+长裤","A023-上衣+长裤.png","A023-上衣+长裤.txt"
"A032","连衣裙","A032-连衣裙.png","A032-连衣裙.txt"
"A197","上衣+短裤","A197-上衣+短裤.png","A197-上衣+短裤.txt"
"A122","上衣+长裤","A122-上衣+长裤.png","A122-上衣+长裤.txt"
"A170","上衣+长裤","A170-上衣+长裤.png","A170-上衣+长裤.txt"
"A179","连衣裙","A179-连衣裙.png","A179-连衣裙.txt"
"A039","上衣+长裤","A039-上衣+长裤.png","A039-上衣+长裤.txt"
"A052","上衣+短裤","A052-上衣+短裤.png","A052-上衣+短裤.txt"
"A182","时装穿搭","A182-时装穿搭.png","A182-时装穿搭.txt"
"A047","连体短裤","A047-连体短裤.png","A047-连体短裤.txt"
"A056","上衣+长裤","A056-上衣+长裤.png","A056-上衣+长裤.txt"
"A129","上衣+短裤","A129-上衣+短裤.png","A129-上衣+短裤.txt"
"A189","上衣+长裤","A189-上衣+长裤.png","A189-上衣+长裤.txt"
"A067","上衣+长裤","A067-上衣+长裤.png","A067-上衣+长裤.txt"
"A070","连衣裙","A070-连衣裙.png","A070-连衣裙.txt"
"A168","上衣+长裤","A168-上衣+长裤.png","A168-上衣+长裤.txt"
"A031","连体短裤","A031-连体短裤.png","A031-连体短裤.txt"
"A007","时装穿搭","A007-时装穿搭.png","A007-时装穿搭.txt"
"A141","连衣裙","A141-连衣裙.png","A141-连衣裙.txt"
"A019","上衣+短裤","A019-上衣+短裤.png","A019-上衣+短裤.txt"
"A018","连衣裙","A018-连衣裙.png","A018-连衣裙.txt"
"A054","连衣裙","A054-连衣裙.png","A054-连衣裙.txt"
"A152","衬衫+短裤","A152-衬衫+短裤.png","A152-衬衫+短裤.txt"
"A021","上衣+长裤","A021-上衣+长裤.png","A021-上衣+长裤.txt"
"A038","上衣+短裤","A038-上衣+短裤.png","A038-上衣+短裤.txt"
"A183","上衣+长裤","A183-上衣+长裤.png","A183-上衣+长裤.txt"
"A118","时装穿搭","A118-时装穿搭.png","A118-时装穿搭.txt"
"A130","上衣+短裤","A130-上衣+短裤.png","A130-上衣+短裤.txt"
"A192","上衣+长裤","A192-上衣+长裤.png","A192-上衣+长裤.txt"
"A095","连衣裙","A095-连衣裙.png","A095-连衣裙.txt"
"A071","衬衫+下装","A071-衬衫+下装.png","A071-衬衫+下装.txt"
"A009","连体短裤","A009-连体短裤.png","A009-连体短裤.txt"
"A109","上衣+长裤","A109-上衣+长裤.png","A109-上衣+长裤.txt"
"A069","连衣裙","A069-连衣裙.png","A069-连衣裙.txt"
"A101","时装穿搭","A101-时装穿搭.png","A101-时装穿搭.txt"
"A083","连体短裤","A083-连体短裤.png","A083-连体短裤.txt"
"A111","上衣+长裤","A111-上衣+长裤.png","A111-上衣+长裤.txt"
"A116","上衣+长裤","A116-上衣+长裤.png","A116-上衣+长裤.txt"
"A043","衬衫+下装","A043-衬衫+下装.png","A043-衬衫+下装.txt"
"A060","上衣+短裙","A060-上衣+短裙.png","A060-上衣+短裙.txt"
"A055","上衣+短裙","A055-上衣+短裙.png","A055-上衣+短裙.txt"
"A088","衬衫+下装","A088-衬衫+下装.png","A088-衬衫+下装.txt"
"A080","时装穿搭","A080-时装穿搭.png","A080-时装穿搭.txt"
"A073","衬衫+下装","A073-衬衫+下装.png","A073-衬衫+下装.txt"
"A198","上衣+短裤","A198-上衣+短裤.png","A198-上衣+短裤.txt"
"A091","衬衫+短裤","A091-衬衫+短裤.png","A091-衬衫+短裤.txt"
"A090","衬衫+下装","A090-衬衫+下装.png","A090-衬衫+下装.txt"
"A062","上衣+长裤","A062-上衣+长裤.png","A062-上衣+长裤.txt"
"A010","连体短裤","A010-连体短裤.png","A010-连体短裤.txt"
"A156","时装穿搭","A156-时装穿搭.png","A156-时装穿搭.txt"
"A124","时装穿搭","A124-时装穿搭.png","A124-时装穿搭.txt"
"A081","上衣+长裤","A081-上衣+长裤.png","A081-上衣+长裤.txt"
"A058","上衣+长裤","A058-上衣+长裤.png","A058-上衣+长裤.txt"
"A033","连体短裤","A033-连体短裤.png","A033-连体短裤.txt"
"A140","连体短裤","A140-连体短裤.png","A140-连体短裤.txt"
"A046","上衣+短裤","A046-上衣+短裤.png","A046-上衣+短裤.txt"
"A034","时装穿搭","A034-时装穿搭.png","A034-时装穿搭.txt"
"A028","上衣+短裤","A028-上衣+短裤.png","A028-上衣+短裤.txt"
"A173","上衣+短裤","A173-上衣+短裤.png","A173-上衣+短裤.txt"
"A041","上衣+长裤","A041-上衣+长裤.png","A041-上衣+长裤.txt"
"A001","连体短裤","A001-连体短裤.png","A001-连体短裤.txt"
"A082","上衣+长裤","A082-上衣+长裤.png","A082-上衣+长裤.txt"
"A147","时装穿搭","A147-时装穿搭.png","A147-时装穿搭.txt"
"A048","上衣+长裤","A048-上衣+长裤.png","A048-上衣+长裤.txt"
"A017","上衣+长裤","A017-上衣+长裤.png","A017-上衣+长裤.txt"
"A117","时装穿搭","A117-时装穿搭.png","A117-时装穿搭.txt"
"A195","上衣+长裤","A195-上衣+长裤.png","A195-上衣+长裤.txt"
